TagNo,LabNo,SPP,Sex,Weight,Condition,Analysis_Date,Analysis_Time,Sample_Type,Analyte,Result,Detect,Result_Qualifier,Result_Unit,LOQ,Reporting_Limit,SDG,Remarks,CAS_Number,Location,Length,Sample_Date,Sample_ID,Prep
NA,L40006-51,NA,NA,NA,NA,20231124,0150,Sample,"HCH, gamma",NA,N,U,ng/g,0.902,0.218,WG87326,NA,58-89-9,NA,NA,12-Nov-21,148-1,NA
NA,L40006-51,NA,NA,NA,NA,20231124,0150,Sample,Heptachlor,NA,N,U,ng/g,0.451,0.12,WG87326,NA,76-44-8,NA,NA,12-Nov-21,148-1,NA
NA,L40006-51,NA,NA,NA,NA,20231124,0150,Sample,Aldrin,NA,N,U,ng/g,1.17,0.126,WG87326,NA,309-00-2,NA,NA,12-Nov-21,148-1,NA
NA,L40006-51,NA,NA,NA,NA,20231124,0150,Sample,"Chlordane, gamma (trans)",NA,N,U,ng/g,0.904,0.0408,WG87326,NA,5103-74-2,NA,NA,12-Nov-21,148-1,NA
NA,L40006-51,NA,NA,NA,NA,20231124,0150,Sample,"Chlordane, alpha (cis)",NA,N,U,ng/g,0.906,0.0438,WG87326,NA,5103-71-9,NA,NA,12-Nov-21,148-1,NA
NA,L40006-51,NA,NA,NA,NA,20231124,0150,Sample,"Chlordane, oxy-",0.721,Y,J,ng/g,0.915,0.369,WG87326,NA,27304-13-8,NA,NA,12-Nov-21,148-1,NA
NA,L40006-51,NA,NA,NA,NA,20231124,0150,Sample,"Nonachlor, trans-",0.126,Y,J,ng/g,0.905,0.0274,WG87326,NA,39765-80-5,NA,NA,12-Nov-21,148-1,NA
NA,L40006-51,NA,NA,NA,NA,20231124,0150,Sample,"Nonachlor, cis-",0.036,Y,J,ng/g,0.903,0.0284,WG87326,NA,5103-73-1,NA,NA,12-Nov-21,148-1,NA
NA,L40006-51,NA,NA,NA,NA,20231124,0150,Sample,Mirex,0.278,Y,J,ng/g,0.457,0.142,WG87326,NA,2385-85-5,NA,NA,12-Nov-21,148-1,NA
NA,L40006-51,NA,NA,NA,NA,20231124,0150,Sample,"2,4'-DDE",NA,N,U,ng/g,0.456,0.018,WG87326,NA,3424-82-6,NA,NA,12-Nov-21,148-1,NA
NA,L40006-51,NA,NA,NA,NA,20231124,0150,Sample,"4,4'-DDE",8.47,Y,NA,ng/g,0.554,0.0243,WG87326,NA,72-55-9,NA,NA,12-Nov-21,148-1,NA
NA,L40006-51,NA,NA,NA,NA,20231124,0150,Sample,"2,4'-DDD",NA,N,U,ng/g,0.45,0.0295,WG87326,NA,53-19-0,NA,NA,12-Nov-21,148-1,NA
NA,L40006-51,NA,NA,NA,NA,20231124,0150,Sample,"4,4'-DDD",0.217,Y,J,ng/g,0.548,0.0166,WG87326,NA,72-54-8,NA,NA,12-Nov-21,148-1,NA
NA,L40006-51,NA,NA,NA,NA,20231124,0150,Sample,"2,4'-DDT",NA,N,U,ng/g,0.455,0.017,WG87326,NA,789-02-6,NA,NA,12-Nov-21,148-1,NA
NA,L40006-51,NA,NA,NA,NA,20231124,0150,Sample,"4,4'-DDT",0.09,Y,J,ng/g,0.456,0.0191,WG87326,NA,50-29-3,NA,NA,12-Nov-21,148-1,NA
NA,L40006-51,NA,NA,NA,NA,20231110,0800,Sample,% Moisture,56,Y,NA,%,NA,NA,WG87326,NA,NA,NA,NA,12-Nov-21,148-1,NA
NA,L40006-51,NA,NA,NA,NA,20231110,0800,Sample,% Lipid,18.2,Y,NA,%,NA,NA,WG87326,NA,NA,NA,NA,12-Nov-21,148-1,NA
NA,L40006-52,NA,NA,NA,NA,20231124,0244,Sample,Hexachlorobenzene,2,Y,B,ng/g,0.456,0.103,WG87326,NA,118-74-1,NA,NA,17-Nov-21,150-1,NA
NA,L40006-52,NA,NA,NA,NA,20231124,0244,Sample,"HCH, alpha",NA,N,U,ng/g,0.912,0.164,WG87326,NA,319-84-6,NA,NA,17-Nov-21,150-1,NA
NA,L40006-52,NA,NA,NA,NA,20231124,0244,Sample,"HCH, beta",NA,N,U,ng/g,0.91,0.4,WG87326,NA,319-85-7,NA,NA,17-Nov-21,150-1,NA
NA,L40006-52,NA,NA,NA,NA,20231124,0244,Sample,"HCH, gamma",0.416,Y,K J,ng/g,0.91,0.199,WG87326,NA,58-89-9,NA,NA,17-Nov-21,150-1,NA
NA,L40006-52,NA,NA,NA,NA,20231124,0244,Sample,Heptachlor,NA,N,U,ng/g,0.455,0.179,WG87326,NA,76-44-8,NA,NA,17-Nov-21,150-1,NA
NA,L40006-52,NA,NA,NA,NA,20231124,0244,Sample,Aldrin,NA,N,U,ng/g,1.18,0.162,WG87326,NA,309-00-2,NA,NA,17-Nov-21,150-1,NA
NA,L40006-52,NA,NA,NA,NA,20231124,0244,Sample,"Chlordane, gamma (trans)",NA,N,U,ng/g,0.912,0.085,WG87326,NA,5103-74-2,NA,NA,17-Nov-21,150-1,NA
NA,L40006-52,NA,NA,NA,NA,20231124,0244,Sample,"Chlordane, alpha (cis)",NA,N,U,ng/g,0.914,0.0912,WG87326,NA,5103-71-9,NA,NA,17-Nov-21,150-1,NA
NA,L40006-52,NA,NA,NA,NA,20231124,0244,Sample,"Chlordane, oxy-",0.482,Y,J,ng/g,0.923,0.424,WG87326,NA,27304-13-8,NA,NA,17-Nov-21,150-1,NA
NA,L40006-52,NA,NA,NA,NA,20231124,0244,Sample,"Nonachlor, trans-",0.292,Y,J,ng/g,0.913,0.0407,WG87326,NA,39765-80-5,NA,NA,17-Nov-21,150-1,NA
NA,L40006-52,NA,NA,NA,NA,20231124,0244,Sample,"Nonachlor, cis-",0.06,Y,J,ng/g,0.911,0.0422,WG87326,NA,5103-73-1,NA,NA,17-Nov-21,150-1,NA
NA,L40006-52,NA,NA,NA,NA,20231124,0244,Sample,Mirex,0.137,Y,K J,ng/g,0.461,0.126,WG87326,NA,2385-85-5,NA,NA,17-Nov-21,150-1,NA
NA,L40006-52,NA,NA,NA,NA,20231124,0244,Sample,"2,4'-DDE",NA,N,U,ng/g,0.46,0.0313,WG87326,NA,3424-82-6,NA,NA,17-Nov-21,150-1,NA
NA,L40006-52,NA,NA,NA,NA,20231124,0244,Sample,"4,4'-DDE",35.4,Y,NA,ng/g,0.558,0.0421,WG87326,NA,72-55-9,NA,NA,17-Nov-21,150-1,NA
NA,L40006-52,NA,NA,NA,NA,20231124,0244,Sample,"2,4'-DDD",NA,N,U,ng/g,0.454,0.0357,WG87326,NA,53-19-0,NA,NA,17-Nov-21,150-1,NA
NA,L40006-52,NA,NA,NA,NA,20231124,0244,Sample,"4,4'-DDD",NA,N,U,ng/g,0.552,0.0578,WG87326,NA,72-54-8,NA,NA,17-Nov-21,150-1,NA
NA,L40006-52,NA,NA,NA,NA,20231124,0244,Sample,"2,4'-DDT",NA,N,U,ng/g,0.459,0.0592,WG87326,NA,789-02-6,NA,NA,17-Nov-21,150-1,NA
NA,L40006-52,NA,NA,NA,NA,20231124,0244,Sample,"4,4'-DDT",0.173,Y,J,ng/g,0.46,0.0664,WG87326,NA,50-29-3,NA,NA,17-Nov-21,150-1,NA
NA,L40006-52,NA,NA,NA,NA,20231110,0800,Sample,% Moisture,65.5,Y,NA,%,NA,NA,WG87326,NA,NA,NA,NA,17-Nov-21,150-1,NA
NA,L40006-52,NA,NA,NA,NA,20231110,0800,Sample,% Lipid,9.85,Y,NA,%,NA,NA,WG87326,NA,NA,NA,NA,17-Nov-21,150-1,NA
NA,L40006-53,NA,NA,NA,NA,20231124,0647,Sample,Hexachlorobenzene,0.325,Y,B J,ng/g,0.451,0.0817,WG87326,NA,118-74-1,NA,NA,5-Nov-21,158-1,NA
NA,L40006-53,NA,NA,NA,NA,20231124,0647,Sample,"HCH, alpha",NA,N,U,ng/g,0.902,0.142,WG87326,NA,319-84-6,NA,NA,5-Nov-21,158-1,NA
NA,L40006-53,NA,NA,NA,NA,20231124,0647,Sample,"HCH, beta",NA,N,U,ng/g,0.901,0.232,WG87326,NA,319-85-7,NA,NA,5-Nov-21,158-1,NA
NA,L40006-53,NA,NA,NA,NA,20231124,0647,Sample,"HCH, gamma",NA,N,U,ng/g,0.901,0.171,WG87326,NA,58-89-9,NA,NA,5-Nov-21,158-1,NA
NA,L40006-53,NA,NA,NA,NA,20231124,0647,Sample,Heptachlor,NA,N,U,ng/g,0.45,0.155,WG87326,NA,76-44-8,NA,NA,5-Nov-21,158-1,NA
NA,L40006-53,NA,NA,NA,NA,20231124,0647,Sample,Aldrin,NA,N,U,ng/g,1.17,0.137,WG87326,NA,309-00-2,NA,NA,5-Nov-21,158-1,NA
NA,L40006-53,NA,NA,NA,NA,20231124,0647,Sample,"Chlordane, gamma (trans)",NA,N,U,ng/g,0.902,0.0903,WG87326,NA,5103-74-2,NA,NA,5-Nov-21,158-1,NA
NA,L40006-53,NA,NA,NA,NA,20231124,0647,Sample,"Chlordane, alpha (cis)",NA,N,U,ng/g,0.904,0.0969,WG87326,NA,5103-71-9,NA,NA,5-Nov-21,158-1,NA
NA,L40006-53,NA,NA,NA,NA,20231124,0647,Sample,"Chlordane, oxy-",NA,N,U,ng/g,0.913,0.228,WG87326,NA,27304-13-8,NA,NA,5-Nov-21,158-1,NA
NA,L40006-53,NA,NA,NA,NA,20231124,0647,Sample,"Nonachlor, trans-",0.049,Y,K J,ng/g,0.903,0.0249,WG87326,NA,39765-80-5,NA,NA,5-Nov-21,158-1,NA
NA,L40006-53,NA,NA,NA,NA,20231124,0647,Sample,"Nonachlor, cis-",NA,N,U,ng/g,0.901,0.0258,WG87326,NA,5103-73-1,NA,NA,5-Nov-21,158-1,NA
NA,L40006-53,NA,NA,NA,NA,20231124,0647,Sample,Mirex,0.37,Y,J,ng/g,0.456,0.0822,WG87326,NA,2385-85-5,NA,NA,5-Nov-21,158-1,NA
NA,L40006-53,NA,NA,NA,NA,20231124,0647,Sample,"2,4'-DDE",NA,N,U,ng/g,0.455,0.0269,WG87326,NA,3424-82-6,NA,NA,5-Nov-21,158-1,NA
NA,L40006-53,NA,NA,NA,NA,20231124,0647,Sample,"4,4'-DDE",6.11,Y,NA,ng/g,0.552,0.0362,WG87326,NA,72-55-9,NA,NA,5-Nov-21,158-1,NA
NA,L40006-53,NA,NA,NA,NA,20231124,0647,Sample,"2,4'-DDD",NA,N,U,ng/g,0.449,0.0351,WG87326,NA,53-19-0,NA,NA,5-Nov-21,158-1,NA
NA,L40006-53,NA,NA,NA,NA,20231124,0647,Sample,"4,4'-DDD",0.601,Y,NA,ng/g,0.547,0.0216,WG87326,NA,72-54-8,NA,NA,5-Nov-21,158-1,NA
NA,L40006-53,NA,NA,NA,NA,20231124,0647,Sample,"2,4'-DDT",NA,N,U,ng/g,0.455,0.0221,WG87326,NA,789-02-6,NA,NA,5-Nov-21,158-1,NA
NA,L40006-53,NA,NA,NA,NA,20231124,0647,Sample,"4,4'-DDT",0.168,Y,J,ng/g,0.455,0.0248,WG87326,NA,50-29-3,NA,NA,5-Nov-21,158-1,NA
NA,L40006-53,NA,NA,NA,NA,20231110,0800,Sample,% Moisture,63,Y,NA,%,NA,NA,WG87326,NA,NA,NA,NA,5-Nov-21,158-1,NA
NA,L40006-53,NA,NA,NA,NA,20231110,0800,Sample,% Lipid,12.3,Y,NA,%,NA,NA,WG87326,NA,NA,NA,NA,5-Nov-21,158-1,NA
NA,L40006-55,NA,NA,NA,NA,20231124,0741,Sample,Hexachlorobenzene,0.416,Y,B J,ng/g,0.435,0.0625,WG87326,NA,118-74-1,NA,NA,28-Nov-21,177-1,NA
NA,L40006-55,NA,NA,NA,NA,20231124,0741,Sample,"HCH, alpha",NA,N,U,ng/g,0.87,0.114,WG87326,NA,319-84-6,NA,NA,28-Nov-21,177-1,NA
NA,L40006-55,NA,NA,NA,NA,20231124,0741,Sample,"HCH, beta",NA,N,U,ng/g,0.868,0.226,WG87326,NA,319-85-7,NA,NA,28-Nov-21,177-1,NA
NA,L40006-55,NA,NA,NA,NA,20231124,0741,Sample,"HCH, gamma",NA,N,U,ng/g,0.868,0.197,WG87326,NA,58-89-9,NA,NA,28-Nov-21,177-1,NA
NA,L40006-55,NA,NA,NA,NA,20231124,0741,Sample,Heptachlor,NA,N,U,ng/g,0.434,0.0865,WG87326,NA,76-44-8,NA,NA,28-Nov-21,177-1,NA
NA,L40006-55,NA,NA,NA,NA,20231124,0741,Sample,Aldrin,NA,N,U,ng/g,1.13,0.165,WG87326,NA,309-00-2,NA,NA,28-Nov-21,177-1,NA
NA,L40006-55,NA,NA,NA,NA,20231124,0741,Sample,"Chlordane, gamma (trans)",NA,N,U,ng/g,0.87,0.0509,WG87326,NA,5103-74-2,NA,NA,28-Nov-21,177-1,NA
NA,L40006-55,NA,NA,NA,NA,20231124,0741,Sample,"Chlordane, alpha (cis)",NA,N,U,ng/g,0.872,0.0547,WG87326,NA,5103-71-9,NA,NA,28-Nov-21,177-1,NA
NA,L40006-55,NA,NA,NA,NA,20231124,0741,Sample,"Chlordane, oxy-",0.96,Y,NA,ng/g,0.88,0.292,WG87326,NA,27304-13-8,NA,NA,28-Nov-21,177-1,NA
NA,L40006-55,NA,NA,NA,NA,20231124,0741,Sample,"Nonachlor, trans-",0.352,Y,J,ng/g,0.87,0.0204,WG87326,NA,39765-80-5,NA,NA,28-Nov-21,177-1,NA
NA,L40006-55,NA,NA,NA,NA,20231124,0741,Sample,"Nonachlor, cis-",0.116,Y,J,ng/g,0.869,0.0211,WG87326,NA,5103-73-1,NA,NA,28-Nov-21,177-1,NA
NA,L40006-55,NA,NA,NA,NA,20231124,0741,Sample,Mirex,0.115,Y,J,ng/g,0.44,0.0841,WG87326,NA,2385-85-5,NA,NA,28-Nov-21,177-1,NA
NA,L40006-55,NA,NA,NA,NA,20231124,0741,Sample,"2,4'-DDE",NA,N,U,ng/g,0.439,0.0188,WG87326,NA,3424-82-6,NA,NA,28-Nov-21,177-1,NA
NA,L40006-55,NA,NA,NA,NA,20231124,0741,Sample,"4,4'-DDE",10.8,Y,NA,ng/g,0.533,0.0253,WG87326,NA,72-55-9,NA,NA,28-Nov-21,177-1,NA
NA,L40006-55,NA,NA,NA,NA,20231124,0741,Sample,"2,4'-DDD",NA,N,U,ng/g,0.433,0.0225,WG87326,NA,53-19-0,NA,NA,28-Nov-21,177-1,NA
NA,L40006-55,NA,NA,NA,NA,20231124,0741,Sample,"4,4'-DDD",0.376,Y,J,ng/g,0.527,0.0223,WG87326,NA,72-54-8,NA,NA,28-Nov-21,177-1,NA
NA,L40006-55,NA,NA,NA,NA,20231124,0741,Sample,"2,4'-DDT",NA,N,U,ng/g,0.438,0.0228,WG87326,NA,789-02-6,NA,NA,28-Nov-21,177-1,NA
NA,L40006-55,NA,NA,NA,NA,20231124,0741,Sample,"4,4'-DDT",0.254,Y,J,ng/g,0.439,0.0256,WG87326,NA,50-29-3,NA,NA,28-Nov-21,177-1,NA
NA,L40006-55,NA,NA,NA,NA,20231110,0800,Sample,% Moisture,73.7,Y,NA,%,NA,NA,WG87326,NA,NA,NA,NA,28-Nov-21,177-1,NA
NA,L40006-55,NA,NA,NA,NA,20231110,0800,Sample,% Lipid,7.63,Y,NA,%,NA,NA,WG87326,NA,NA,NA,NA,28-Nov-21,177-1,NA
NA,L40006-56,NA,NA,NA,NA,20231124,0836,Sample,Hexachlorobenzene,0.555,Y,B,ng/g,0.457,0.0697,WG87326,NA,118-74-1,NA,NA,7-Dec-21,184-1,NA
NA,L40006-56,NA,NA,NA,NA,20231124,0836,Sample,"HCH, alpha",NA,N,U,ng/g,0.915,0.181,WG87326,NA,319-84-6,NA,NA,7-Dec-21,184-1,NA
NA,L40006-56,NA,NA,NA,NA,20231124,0836,Sample,"HCH, beta",NA,N,U,ng/g,0.913,0.285,WG87326,NA,319-85-7,NA,NA,7-Dec-21,184-1,NA
NA,L40006-56,NA,NA,NA,NA,20231124,0836,Sample,"HCH, gamma",NA,N,U,ng/g,0.913,0.272,WG87326,NA,58-89-9,NA,NA,7-Dec-21,184-1,NA
NA,L40006-56,NA,NA,NA,NA,20231124,0836,Sample,Heptachlor,NA,N,U,ng/g,0.457,0.111,WG87326,NA,76-44-8,NA,NA,7-Dec-21,184-1,NA
NA,L40006-56,NA,NA,NA,NA,20231124,0836,Sample,Aldrin,NA,N,U,ng/g,1.19,0.16,WG87326,NA,309-00-2,NA,NA,7-Dec-21,184-1,NA
NA,L40006-56,NA,NA,NA,NA,20231124,0836,Sample,"Chlordane, gamma (trans)",NA,N,U,ng/g,0.915,0.0931,WG87326,NA,5103-74-2,NA,NA,7-Dec-21,184-1,NA
NA,L40006-56,NA,NA,NA,NA,20231124,0836,Sample,"Chlordane, alpha (cis)",NA,N,U,ng/g,0.917,0.0999,WG87326,NA,5103-71-9,NA,NA,7-Dec-21,184-1,NA
NA,L40006-56,NA,NA,NA,NA,20231124,0836,Sample,"Chlordane, oxy-",1.93,Y,NA,ng/g,0.925,0.386,WG87326,NA,27304-13-8,NA,NA,7-Dec-21,184-1,NA
NA,L40006-56,NA,NA,NA,NA,20231124,0836,Sample,"Nonachlor, trans-",1.48,Y,NA,ng/g,0.915,0.0373,WG87326,NA,39765-80-5,NA,NA,7-Dec-21,184-1,NA
NA,L40006-56,NA,NA,NA,NA,20231124,0836,Sample,"Nonachlor, cis-",0.444,Y,J,ng/g,0.914,0.0386,WG87326,NA,5103-73-1,NA,NA,7-Dec-21,184-1,NA
NA,L40006-56,NA,NA,NA,NA,20231124,0836,Sample,Mirex,0.256,Y,J,ng/g,0.463,0.0891,WG87326,NA,2385-85-5,NA,NA,7-Dec-21,184-1,NA
NA,L40006-56,NA,NA,NA,NA,20231124,0836,Sample,"2,4'-DDE",NA,N,U,ng/g,0.462,0.0189,WG87326,NA,3424-82-6,NA,NA,7-Dec-21,184-1,NA
NA,L40006-56,NA,NA,NA,NA,20231124,0836,Sample,"4,4'-DDE",11.1,Y,NA,ng/g,0.56,0.0255,WG87326,NA,72-55-9,NA,NA,7-Dec-21,184-1,NA
NA,L40006-56,NA,NA,NA,NA,20231124,0836,Sample,"2,4'-DDD",NA,N,U,ng/g,0.456,0.0202,WG87326,NA,53-19-0,NA,NA,7-Dec-21,184-1,NA
NA,L40006-56,NA,NA,NA,NA,20231124,0836,Sample,"4,4'-DDD",0.204,Y,J,ng/g,0.554,0.0321,WG87326,NA,72-54-8,NA,NA,7-Dec-21,184-1,NA
NA,L40006-56,NA,NA,NA,NA,20231124,0836,Sample,"2,4'-DDT",NA,N,U,ng/g,0.461,0.0329,WG87326,NA,789-02-6,NA,NA,7-Dec-21,184-1,NA
NA,L40006-56,NA,NA,NA,NA,20231124,0836,Sample,"4,4'-DDT",0.357,Y,J,ng/g,0.462,0.0368,WG87326,NA,50-29-3,NA,NA,7-Dec-21,184-1,NA
NA,L40006-56,NA,NA,NA,NA,20231110,0800,Sample,% Moisture,64,Y,NA,%,NA,NA,WG87326,NA,NA,NA,NA,7-Dec-21,184-1,NA
NA,L40006-56,NA,NA,NA,NA,20231110,0800,Sample,% Lipid,12.1,Y,NA,%,NA,NA,WG87326,NA,NA,NA,NA,7-Dec-21,184-1,NA
NA,L40006-57,NA,NA,NA,NA,20231124,0930,Sample,Hexachlorobenzene,0.585,Y,B,ng/g,0.452,0.0522,WG87326,NA,118-74-1,NA,NA,7-Dec-21,184-2,NA
NA,L40006-57,NA,NA,NA,NA,20231124,0930,Sample,"HCH, alpha",NA,N,U,ng/g,0.904,0.148,WG87326,NA,319-84-6,NA,NA,7-Dec-21,184-2,NA
NA,L40006-57,NA,NA,NA,NA,20231124,0930,Sample,"HCH, beta",NA,N,U,ng/g,0.903,0.285,WG87326,NA,319-85-7,NA,NA,7-Dec-21,184-2,NA
NA,L40006-57,NA,NA,NA,NA,20231124,0930,Sample,"HCH, gamma",NA,N,U,ng/g,0.903,0.163,WG87326,NA,58-89-9,NA,NA,7-Dec-21,184-2,NA
NA,L40006-57,NA,NA,NA,NA,20231124,0930,Sample,Heptachlor,NA,N,U,ng/g,0.452,0.11,WG87326,NA,76-44-8,NA,NA,7-Dec-21,184-2,NA
NA,L40006-57,NA,NA,NA,NA,20231124,0930,Sample,Aldrin,NA,N,U,ng/g,1.18,0.206,WG87326,NA,309-00-2,NA,NA,7-Dec-21,184-2,NA
NA,L40006-57,NA,NA,NA,NA,20231124,0930,Sample,"Chlordane, gamma (trans)",NA,N,U,ng/g,0.904,0.0625,WG87326,NA,5103-74-2,NA,NA,7-Dec-21,184-2,NA
NA,L40006-57,NA,NA,NA,NA,20231124,0930,Sample,"Chlordane, alpha (cis)",0.21,Y,K J,ng/g,0.907,0.0671,WG87326,NA,5103-71-9,NA,NA,7-Dec-21,184-2,NA
NA,L40006-57,NA,NA,NA,NA,20231124,0930,Sample,"Chlordane, oxy-",1.86,Y,NA,ng/g,0.915,0.262,WG87326,NA,27304-13-8,NA,NA,7-Dec-21,184-2,NA
NA,L40006-57,NA,NA,NA,NA,20231124,0930,Sample,"Nonachlor, trans-",2,Y,NA,ng/g,0.905,0.0355,WG87326,NA,39765-80-5,NA,NA,7-Dec-21,184-2,NA
NA,L40006-57,NA,NA,NA,NA,20231124,0930,Sample,"Nonachlor, cis-",0.538,Y,J,ng/g,0.904,0.0367,WG87326,NA,5103-73-1,NA,NA,7-Dec-21,184-2,NA
NA,L40006-57,NA,NA,NA,NA,20231124,0930,Sample,Mirex,0.302,Y,K J,ng/g,0.458,0.113,WG87326,NA,2385-85-5,NA,NA,7-Dec-21,184-2,NA
NA,L40006-57,NA,NA,NA,NA,20231124,0930,Sample,"2,4'-DDE",NA,N,U,ng/g,0.457,0.0228,WG87326,NA,3424-82-6,NA,NA,7-Dec-21,184-2,NA
NA,L40006-57,NA,NA,NA,NA,20231124,0930,Sample,"4,4'-DDE",10.1,Y,NA,ng/g,0.554,0.0307,WG87326,NA,72-55-9,NA,NA,7-Dec-21,184-2,NA
NA,L40006-57,NA,NA,NA,NA,20231124,0930,Sample,"2,4'-DDD",NA,N,U,ng/g,0.451,0.0214,WG87326,NA,53-19-0,NA,NA,7-Dec-21,184-2,NA
NA,L40006-57,NA,NA,NA,NA,20231124,0930,Sample,"4,4'-DDD",0.278,Y,J,ng/g,0.548,0.0302,WG87326,NA,72-54-8,NA,NA,7-Dec-21,184-2,NA
NA,L40006-57,NA,NA,NA,NA,20231124,0930,Sample,"2,4'-DDT",NA,N,U,ng/g,0.456,0.0309,WG87326,NA,789-02-6,NA,NA,7-Dec-21,184-2,NA
NA,L40006-57,NA,NA,NA,NA,20231124,0930,Sample,"4,4'-DDT",0.296,Y,J,ng/g,0.457,0.0347,WG87326,NA,50-29-3,NA,NA,7-Dec-21,184-2,NA
NA,L40006-57,NA,NA,NA,NA,20231110,0800,Sample,% Moisture,61.8,Y,NA,%,NA,NA,WG87326,NA,NA,NA,NA,7-Dec-21,184-2,NA
NA,L40006-57,NA,NA,NA,NA,20231110,0800,Sample,% Lipid,17.9,Y,NA,%,NA,NA,WG87326,NA,NA,NA,NA,7-Dec-21,184-2,NA
NA,L40006-58,NA,NA,NA,NA,20231124,1025,Sample,Hexachlorobenzene,1,Y,B,ng/g,0.454,0.0806,WG87326,NA,118-74-1,NA,NA,10-Dec-21,190-1A,NA
NA,L40006-58,NA,NA,NA,NA,20231124,1025,Sample,"HCH, alpha",NA,N,U,ng/g,0.908,0.145,WG87326,NA,319-84-6,NA,NA,10-Dec-21,190-1A,NA
NA,L40006-58,NA,NA,NA,NA,20231124,1025,Sample,"HCH, beta",NA,N,U,ng/g,0.907,0.211,WG87326,NA,319-85-7,NA,NA,10-Dec-21,190-1A,NA
NA,L40006-58,NA,NA,NA,NA,20231124,1025,Sample,"HCH, gamma",NA,N,U,ng/g,0.907,0.102,WG87326,NA,58-89-9,NA,NA,10-Dec-21,190-1A,NA
NA,L40006-58,NA,NA,NA,NA,20231124,1025,Sample,Heptachlor,NA,N,U,ng/g,0.453,0.104,WG87326,NA,76-44-8,NA,NA,10-Dec-21,190-1A,NA
NA,L40006-58,NA,NA,NA,NA,20231124,1025,Sample,Aldrin,NA,N,U,ng/g,1.18,0.103,WG87326,NA,309-00-2,NA,NA,10-Dec-21,190-1A,NA
NA,L40006-58,NA,NA,NA,NA,20231124,1025,Sample,"Chlordane, gamma (trans)",NA,N,U,ng/g,0.908,0.103,WG87326,NA,5103-74-2,NA,NA,10-Dec-21,190-1A,NA
NA,L40006-58,NA,NA,NA,NA,20231124,1025,Sample,"Chlordane, alpha (cis)",NA,N,U,ng/g,0.911,0.11,WG87326,NA,5103-71-9,NA,NA,10-Dec-21,190-1A,NA
NA,L40006-58,NA,NA,NA,NA,20231124,1025,Sample,"Chlordane, oxy-",0.397,Y,J,ng/g,0.919,0.199,WG87326,NA,27304-13-8,NA,NA,10-Dec-21,190-1A,NA
NA,L40006-58,NA,NA,NA,NA,20231124,1025,Sample,"Nonachlor, trans-",0.491,Y,J,ng/g,0.909,0.0211,WG87326,NA,39765-80-5,NA,NA,10-Dec-21,190-1A,NA
NA,L40006-58,NA,NA,NA,NA,20231124,1025,Sample,"Nonachlor, cis-",0.076,Y,J,ng/g,0.907,0.0218,WG87326,NA,5103-73-1,NA,NA,10-Dec-21,190-1A,NA
NA,L40006-58,NA,NA,NA,NA,20231124,1025,Sample,Mirex,0.123,Y,J,ng/g,0.459,0.114,WG87326,NA,2385-85-5,NA,NA,10-Dec-21,190-1A,NA
NA,L40006-58,NA,NA,NA,NA,20231124,1025,Sample,"2,4'-DDE",NA,N,U,ng/g,0.459,0.0118,WG87326,NA,3424-82-6,NA,NA,10-Dec-21,190-1A,NA
NA,L40006-58,NA,NA,NA,NA,20231124,1025,Sample,"4,4'-DDE",4.85,Y,NA,ng/g,0.556,0.016,WG87326,NA,72-55-9,NA,NA,10-Dec-21,190-1A,NA
NA,L40006-58,NA,NA,NA,NA,20231124,1025,Sample,"2,4'-DDD",NA,N,U,ng/g,0.452,0.0297,WG87326,NA,53-19-0,NA,NA,10-Dec-21,190-1A,NA
NA,L40006-58,NA,NA,NA,NA,20231124,1025,Sample,"4,4'-DDD",0.083,Y,J,ng/g,0.55,0.0292,WG87326,NA,72-54-8,NA,NA,10-Dec-21,190-1A,NA
NA,L40006-58,NA,NA,NA,NA,20231124,1025,Sample,"2,4'-DDT",NA,N,U,ng/g,0.458,0.0299,WG87326,NA,789-02-6,NA,NA,10-Dec-21,190-1A,NA
NA,L40006-58,NA,NA,NA,NA,20231124,1025,Sample,"4,4'-DDT",NA,N,U,ng/g,0.459,0.0335,WG87326,NA,50-29-3,NA,NA,10-Dec-21,190-1A,NA
NA,L40006-58,NA,NA,NA,NA,20231110,0800,Sample,% Moisture,60.1,Y,NA,%,NA,NA,WG87326,NA,NA,NA,NA,10-Dec-21,190-1A,NA
NA,L40006-58,NA,NA,NA,NA,20231110,0800,Sample,% Lipid,12.4,Y,NA,%,NA,NA,WG87326,NA,NA,NA,NA,10-Dec-21,190-1A,NA
NA,L40006-59,NA,NA,NA,NA,20231124,1119,Sample,Hexachlorobenzene,0.515,Y,B,ng/g,0.457,0.0271,WG87326,NA,118-74-1,NA,NA,10-Dec-21,190-1B,NA
NA,L40006-59,NA,NA,NA,NA,20231124,1119,Sample,"HCH, alpha",NA,N,U,ng/g,0.915,0.0856,WG87326,NA,319-84-6,NA,NA,10-Dec-21,190-1B,NA
NA,L40006-59,NA,NA,NA,NA,20231124,1119,Sample,"HCH, beta",NA,N,U,ng/g,0.913,0.236,WG87326,NA,319-85-7,NA,NA,10-Dec-21,190-1B,NA
NA,L40006-59,NA,NA,NA,NA,20231124,1119,Sample,"HCH, gamma",0.224,Y,K J,ng/g,0.913,0.14,WG87326,NA,58-89-9,NA,NA,10-Dec-21,190-1B,NA
